timestamp, gpu_0_utilization.gpu [% or MiB], gpu_0_utilization.memory [% or MiB], gpu_0_memory.total [% or MiB], gpu_0_memory.free [% or MiB], gpu_0_memory.used [% or MiB], gpu_1_utilization.gpu [% or MiB], gpu_1_utilization.memory [% or MiB], gpu_1_memory.total [% or MiB], gpu_1_memory.free [% or MiB], gpu_1_memory.used [% or MiB], gpu_2_utilization.gpu [% or MiB], gpu_2_utilization.memory [% or MiB], gpu_2_memory.total [% or MiB], gpu_2_memory.free [% or MiB], gpu_2_memory.used [% or MiB], gpu_3_utilization.gpu [% or MiB], gpu_3_utilization.memory [% or MiB], gpu_3_memory.total [% or MiB], gpu_3_memory.free [% or MiB], gpu_3_memory.used [% or MiB]
2025/03/16 13:56:41.919, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:43.000, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:44.080, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:45.153, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:46.231, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:47.304, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:48.380, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:49.447, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:50.530, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:51.592, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:52.669, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:53.741, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:54.815, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:55.890, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:56.974, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:58.062, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:56:59.151, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:00.221, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:01.282, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:02.356, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:03.426, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:04.501, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:05.570, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:06.647, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:07.728, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:08.796, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:09.866, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:10.946, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:12.240, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:13.311, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:14.397, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:15.469, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:16.539, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:17.611, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:18.695, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:19.767, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:20.833, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:21.906, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:22.976, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:24.045, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:25.129, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:26.194, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:27.262, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:28.333, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:29.406, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:30.471, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:31.538, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:32.606, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:33.672, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:34.740, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
