timestamp, gpu_0_utilization.gpu [% or MiB], gpu_0_utilization.memory [% or MiB], gpu_0_memory.total [% or MiB], gpu_0_memory.free [% or MiB], gpu_0_memory.used [% or MiB], gpu_1_utilization.gpu [% or MiB], gpu_1_utilization.memory [% or MiB], gpu_1_memory.total [% or MiB], gpu_1_memory.free [% or MiB], gpu_1_memory.used [% or MiB]
2025/03/16 22:19:27.296, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:28.417, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:29.563, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:30.612, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:31.778, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:32.826, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:33.936, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:35.084, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:36.126, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:37.283, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:38.326, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:39.370, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:40.564, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:41.612, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:42.793, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:43.837, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:44.882, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:46.095, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:47.138, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:48.337, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:49.386, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:50.429, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:51.642, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:52.682, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:53.879, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:54.927, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:55.974, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:57.504, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:58.550, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:19:59.630, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:00.879, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:01.931, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:03.142, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:04.191, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:05.241, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:06.421, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:07.465, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:08.648, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:09.693, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:10.736, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:11.944, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:12.989, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:14.178, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:15.223, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:16.267, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:17.479, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:18.524, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:19.723, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:20:20.770, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
